"SourceKey","Sentiment","Sector","Date"
1,"bullish","energy","2020-07-19"
2,"none","energy","2020-07-19"
3,"none","energy","2020-07-19"
4,"none","energy","2020-07-19"
5,"none","energy","2020-07-19"
6,"none","energy","2020-07-19"
7,"none","energy","2020-07-19"
8,"none","energy","2020-07-19"
9,"none","energy","2020-07-19"
10,"bullish","energy","2020-07-19"
11,"none","energy","2020-07-19"
12,"none","energy","2020-07-19"
13,"none","energy","2020-07-19"
14,"bullish","energy","2020-07-19"
15,"none","energy","2020-07-19"
16,"none","energy","2020-07-19"
17,"bullish","energy","2020-07-19"
18,"none","energy","2020-07-19"
19,"bearish","energy","2020-07-19"
20,"none","energy","2020-07-19"
21,"none","energy","2020-07-19"
22,"none","energy","2020-07-19"
23,"none","energy","2020-07-19"
24,"none","energy","2020-07-19"
25,"none","energy","2020-07-19"
26,"none","energy","2020-07-19"
27,"none","energy","2020-07-19"
28,"none","energy","2020-07-19"
29,"none","energy","2020-07-19"
30,"none","energy","2020-07-19"
31,"bullish","energy","2020-07-19"
32,"none","energy","2020-07-19"
33,"none","energy","2020-07-19"
34,"bullish","energy","2020-07-19"
35,"none","energy","2020-07-19"
36,"none","energy","2020-07-19"
37,"none","energy","2020-07-19"
38,"bullish","energy","2020-07-19"
39,"none","energy","2020-07-19"
40,"none","energy","2020-07-19"
41,"none","energy","2020-07-19"
42,"none","energy","2020-07-19"
43,"none","energy","2020-07-19"
44,"none","energy","2020-07-19"
45,"bearish","energy","2020-07-19"
46,"none","energy","2020-07-19"
47,"none","energy","2020-07-19"
48,"bearish","energy","2020-07-19"
49,"none","energy","2020-07-19"
50,"none","energy","2020-07-19"
51,"none","energy","2020-07-19"
52,"bearish","energy","2020-07-19"
53,"none","energy","2020-07-19"
54,"none","energy","2020-07-19"
55,"none","energy","2020-07-19"
56,"none","energy","2020-07-19"
57,"none","energy","2020-07-19"
58,"none","energy","2020-07-19"
59,"none","energy","2020-07-19"
60,"none","energy","2020-07-19"
61,"none","energy","2020-07-19"
62,"bearish","energy","2020-07-19"
63,"none","energy","2020-07-19"
64,"none","energy","2020-07-19"
65,"bearish","energy","2020-07-19"
66,"none","energy","2020-07-19"
67,"none","energy","2020-07-19"
68,"bullish","energy","2020-07-19"
69,"bullish","energy","2020-07-19"
70,"none","energy","2020-07-19"
71,"none","energy","2020-07-19"
72,"none","energy","2020-07-19"
73,"bullish","energy","2020-07-19"
74,"none","energy","2020-07-19"
75,"bullish","energy","2020-07-19"
76,"none","energy","2020-07-19"
77,"none","energy","2020-07-19"
78,"none","energy","2020-07-19"
79,"bullish","energy","2020-07-19"
80,"none","energy","2020-07-19"
81,"none","energy","2020-07-19"
82,"none","energy","2020-07-19"
83,"none","energy","2020-07-19"
84,"bullish","energy","2020-07-19"
85,"none","energy","2020-07-19"
86,"none","energy","2020-07-19"
87,"none","energy","2020-07-19"
88,"bullish","energy","2020-07-19"
89,"none","energy","2020-07-19"
90,"bearish","energy","2020-07-19"
91,"none","energy","2020-07-19"
92,"none","energy","2020-07-19"
93,"none","energy","2020-07-19"
94,"none","energy","2020-07-19"
95,"none","energy","2020-07-19"
96,"bearish","energy","2020-07-19"
97,"none","energy","2020-07-19"
98,"none","energy","2020-07-19"
99,"bullish","energy","2020-07-19"
100,"bullish","energy","2020-07-19"
101,"bullish","energy","2020-07-19"
102,"bearish","energy","2020-07-19"
103,"none","energy","2020-07-19"
104,"none","energy","2020-07-19"
105,"bearish","energy","2020-07-19"
106,"none","energy","2020-07-19"
107,"bearish","energy","2020-07-19"
108,"none","energy","2020-07-19"
109,"none","energy","2020-07-19"
110,"bearish","energy","2020-07-19"
111,"none","energy","2020-07-19"
112,"none","energy","2020-07-19"
113,"none","energy","2020-07-19"
114,"bearish","energy","2020-07-19"
115,"none","energy","2020-07-19"
116,"none","energy","2020-07-19"
117,"none","energy","2020-07-19"
118,"none","energy","2020-07-19"
119,"none","energy","2020-07-19"
120,"bullish","energy","2020-07-19"
121,"none","energy","2020-07-19"
122,"bullish","energy","2020-07-19"
123,"none","energy","2020-07-19"
124,"none","energy","2020-07-19"
125,"none","energy","2020-07-19"
126,"none","energy","2020-07-19"
127,"none","energy","2020-07-19"
128,"none","energy","2020-07-19"
129,"none","energy","2020-07-19"
130,"none","energy","2020-07-19"
131,"none","energy","2020-07-19"
132,"none","energy","2020-07-19"
133,"bullish","energy","2020-07-19"
134,"bearish","energy","2020-07-19"
135,"none","energy","2020-07-19"
136,"none","energy","2020-07-19"
137,"none","energy","2020-07-19"
138,"none","energy","2020-07-19"
139,"none","energy","2020-07-19"
140,"none","energy","2020-07-19"
141,"bearish","energy","2020-07-19"
142,"none","energy","2020-07-19"
143,"bearish","energy","2020-07-19"
144,"bearish","energy","2020-07-19"
145,"none","energy","2020-07-19"
146,"none","energy","2020-07-19"
147,"bullish","energy","2020-07-19"
148,"none","energy","2020-07-19"
149,"none","energy","2020-07-19"
150,"none","energy","2020-07-19"
151,"none","energy","2020-07-19"
152,"bearish","energy","2020-07-19"
153,"none","energy","2020-07-19"
154,"none","energy","2020-07-19"
155,"none","energy","2020-07-19"
156,"none","energy","2020-07-19"
157,"none","energy","2020-07-19"
158,"none","energy","2020-07-19"
159,"none","energy","2020-07-19"
160,"none","energy","2020-07-19"
161,"bearish","energy","2020-07-19"
162,"none","energy","2020-07-19"
163,"bearish","energy","2020-07-19"
164,"none","energy","2020-07-19"
165,"none","energy","2020-07-19"
166,"none","energy","2020-07-19"
167,"none","energy","2020-07-19"
168,"none","energy","2020-07-19"
169,"bearish","energy","2020-07-19"
170,"none","energy","2020-07-19"
171,"none","energy","2020-07-19"
172,"none","energy","2020-07-19"
173,"bearish","energy","2020-07-19"
174,"none","energy","2020-07-19"
175,"none","energy","2020-07-19"
176,"bearish","energy","2020-07-19"
177,"none","energy","2020-07-19"
178,"none","energy","2020-07-19"
179,"none","energy","2020-07-19"
180,"none","energy","2020-07-19"
181,"none","energy","2020-07-19"
182,"bearish","energy","2020-07-19"
183,"bearish","energy","2020-07-19"
184,"none","energy","2020-07-19"
185,"none","energy","2020-07-19"
186,"none","energy","2020-07-19"
187,"bearish","energy","2020-07-19"
188,"none","energy","2020-07-19"
189,"none","energy","2020-07-19"
190,"bullish","energy","2020-07-19"
191,"bullish","energy","2020-07-19"
192,"bullish","energy","2020-07-19"
193,"none","energy","2020-07-19"
194,"none","energy","2020-07-19"
195,"none","energy","2020-07-19"
196,"bearish","energy","2020-07-19"
197,"none","energy","2020-07-19"
198,"bullish","energy","2020-07-19"
199,"none","energy","2020-07-19"
200,"none","energy","2020-07-19"
201,"none","energy","2020-07-19"
202,"none","energy","2020-07-19"
203,"bullish","energy","2020-07-19"
204,"none","energy","2020-07-19"
205,"none","energy","2020-07-19"
206,"none","energy","2020-07-19"
207,"none","energy","2020-07-19"
208,"bullish","energy","2020-07-19"
209,"bullish","energy","2020-07-19"
210,"bullish","energy","2020-07-19"
211,"none","energy","2020-07-19"
212,"bullish","energy","2020-07-19"
213,"none","energy","2020-07-19"
214,"none","energy","2020-07-19"
215,"none","energy","2020-07-19"
216,"none","energy","2020-07-19"
217,"none","energy","2020-07-19"
218,"none","energy","2020-07-19"
219,"bullish","energy","2020-07-19"
220,"none","energy","2020-07-19"
221,"none","energy","2020-07-19"
222,"none","energy","2020-07-19"
223,"none","energy","2020-07-19"
224,"bearish","energy","2020-07-19"
225,"none","energy","2020-07-19"
226,"none","energy","2020-07-19"
227,"none","energy","2020-07-19"
228,"none","energy","2020-07-19"
229,"none","energy","2020-07-19"
230,"none","energy","2020-07-19"
231,"none","energy","2020-07-19"
232,"bullish","energy","2020-07-19"
233,"none","energy","2020-07-19"
234,"bearish","energy","2020-07-19"
235,"bearish","energy","2020-07-19"
236,"none","energy","2020-07-19"
237,"bullish","energy","2020-07-19"
