"SourceKey","Sentiment","Sector","Date"
11989,"bearish","energy",2020-07-24
11990,"none","energy",2020-07-22
11991,"bearish","energy",2020-07-24
11992,"bearish","energy",2020-07-24
11993,"none","energy",2020-07-24
11994,"bearish","energy",2020-07-24
11995,"none","energy",2020-07-24
11996,"none","energy",2020-07-24
11997,"none","energy",2020-07-24
11998,"none","energy",2020-07-24
11999,"bearish","energy",2020-07-24
12000,"none","energy",2020-07-24
12001,"none","energy",2020-07-24
12002,"bearish","energy",2020-07-24
12003,"none","energy",2020-07-24
12004,"none","energy",2020-07-24
12005,"none","energy",2020-07-24
12006,"none","energy",2020-07-24
12007,"none","energy",2020-07-24
12008,"bearish","energy",2020-07-24
12009,"none","energy",2020-07-24
12010,"none","energy",2020-07-24
12011,"none","energy",2020-07-23
12012,"none","energy",2020-07-24
12013,"none","energy",2020-07-24
12014,"none","energy",2020-07-24
12015,"none","energy",2020-07-24
12016,"none","energy",2020-07-24
12017,"none","energy",2020-07-24
12018,"bearish","energy",2020-07-24
12019,"bearish","energy",2020-07-24
12020,"none","energy",2020-07-24
12021,"none","energy",2020-07-23
12022,"none","energy",2020-07-24
12023,"none","energy",2020-07-24
12024,"none","energy",2020-07-24
12025,"none","energy",2020-07-24
12026,"none","energy",2020-07-24
12027,"bearish","energy",2020-07-24
12028,"none","energy",2020-07-24
12029,"none","energy",2020-07-23
12030,"none","energy",2020-07-24
12031,"none","energy",2020-07-24
12032,"none","energy",2020-07-24
12033,"none","energy",2020-07-24
12034,"none","energy",2020-07-24
12035,"none","energy",2020-07-24
12036,"bullish","energy",2020-07-24
12037,"none","energy",2020-07-24
12038,"none","energy",2020-07-24
12039,"none","energy",2020-07-23
12040,"none","energy",2020-07-21
12041,"none","energy",2020-07-24
12042,"none","energy",2020-07-24
12043,"bullish","energy",2020-07-24
12044,"none","energy",2020-07-24
12045,"none","energy",2020-07-22
12046,"none","energy",2020-07-24
12047,"bullish","energy",2020-07-23
12048,"bullish","energy",2020-07-24
12049,"none","energy",2020-07-24
12050,"none","energy",2020-07-24
12051,"none","energy",2020-07-23
12052,"bearish","energy",2020-07-24
12053,"none","energy",2020-07-24
12054,"none","energy",2020-07-24
12055,"none","energy",2020-07-23
12056,"none","energy",2020-07-22
12057,"none","energy",2020-07-21
12058,"bullish","energy",2020-07-20
12059,"none","energy",2020-07-17
12060,"none","energy",2020-07-16
12061,"bearish","energy",2020-07-15
12062,"none","energy",2020-07-14
12063,"none","energy",2020-07-13
12064,"bearish","energy",2020-07-10
12065,"none","energy",2020-07-09
12066,"none","energy",2020-07-08
12067,"none","energy",2020-07-07
12068,"bearish","energy",2020-07-06
12069,"none","energy",2020-07-02
12070,"none","energy",2020-07-02
12071,"none","energy",2020-07-01
12072,"none","energy",2020-07-24
12073,"bearish","energy",2020-07-24
12074,"bearish","energy",2020-07-24
12075,"bullish","energy",2020-07-24
12076,"none","energy",2020-07-24
12077,"none","energy",2020-07-24
12078,"bearish","energy",2020-07-24
12079,"none","energy",2020-07-24
12080,"none","energy",2020-07-24
12081,"none","energy",2020-07-24
12082,"none","energy",2020-07-24
12083,"none","energy",2020-07-23
12084,"none","energy",2020-07-24
12085,"none","energy",2020-07-24
12086,"none","energy",2020-07-17
12087,"none","energy",2020-07-24
12088,"none","energy",2020-07-24
12089,"none","energy",2020-07-24
12090,"bearish","energy",2020-07-24
12091,"none","energy",2020-07-24
12092,"none","energy",2020-07-24
12093,"none","energy",2020-07-24
12094,"none","energy",2020-07-24
12095,"none","energy",2020-07-24
12096,"none","energy",2020-07-24
12097,"none","energy",2020-07-24
12098,"none","energy",2020-07-24
12099,"none","energy",2020-07-24
12100,"none","energy",2020-07-24
12101,"bullish","energy",2020-07-20
12102,"bearish","energy",2020-07-22
12103,"none","energy",2020-07-21
12104,"bearish","energy",2020-07-20
12105,"bullish","energy",2020-07-23
12106,"bearish","energy",2020-07-24
12107,"none","energy",2020-07-24
12108,"none","energy",2020-07-24
12109,"none","energy",2020-07-24
12110,"none","energy",2020-07-24
12111,"none","energy",2020-07-24
12112,"none","energy",2020-07-23
12113,"none","energy",2020-07-21
12114,"bearish","energy",2020-07-23
12115,"bearish","energy",2020-07-24
12116,"none","energy",2020-07-24
12117,"none","energy",2020-07-23
12118,"none","energy",2020-07-24
12119,"none","energy",2020-07-24
12120,"none","energy",2020-07-24
12121,"bearish","energy",2020-07-24
12122,"bearish","energy",2020-07-24
12123,"none","energy",2020-07-24
12124,"none","energy",2020-07-24
12125,"none","energy",2020-07-24
12126,"none","energy",2020-07-24
12127,"bearish","energy",2020-07-24
12128,"none","energy",2020-07-24
12129,"none","energy",2020-07-23
12130,"none","energy",2020-07-24
12131,"none","energy",2020-07-24
12132,"none","energy",2020-07-23
12133,"none","energy",2020-07-24
12134,"none","energy",2020-07-23
12135,"none","energy",2020-07-24
12136,"none","energy",2020-07-24
12137,"none","energy",2020-07-23
12138,"bullish","energy",2020-07-24
12139,"none","energy",2020-07-24
12140,"none","energy",2020-07-23
12141,"none","energy",2020-07-23
12142,"none","energy",2020-07-23
12143,"none","energy",2020-07-23
12144,"none","energy",2020-07-22
12145,"none","energy",2020-07-21
12146,"none","energy",2020-07-21
12147,"bearish","energy",2020-07-24
12148,"none","energy",2020-07-22
12149,"none","energy",2020-07-02
12150,"none","energy",2020-07-17
12151,"none","energy",2020-07-24
12152,"none","energy",2020-07-22
12153,"none","energy",2020-07-24
12154,"none","energy",2020-07-24
12155,"bullish","energy",2020-07-17
12156,"bearish","energy",2020-07-14
12157,"bearish","energy",2020-07-24
12158,"none","energy",2020-07-24
12159,"none","energy",2020-07-24
12160,"none","energy",2020-07-24
12161,"none","energy",2020-07-24
12162,"none","energy",2020-07-24
12163,"bearish","energy",2020-07-24
12164,"none","energy",2020-07-24
12165,"bullish","energy",2020-07-24
12166,"none","energy",2020-07-24
12167,"none","energy",2020-07-24
12168,"none","energy",2020-07-24
12169,"none","energy",2020-07-24
12170,"bullish","energy",2020-07-24
12171,"none","energy",2020-07-24
12172,"none","energy",2020-07-24
12173,"bullish","energy",2020-07-24
12174,"none","energy",2020-07-24
12175,"none","energy",2020-07-24
12176,"none","energy",2020-07-24
12177,"none","energy",2020-07-24
12178,"none","energy",2020-07-24
12179,"none","energy",2020-07-24
12180,"none","energy",2020-07-24
12181,"none","energy",2020-07-24
12182,"none","energy",2020-07-24
12183,"none","energy",2020-07-24
12184,"none","energy",2020-07-21
12185,"bullish","energy",2020-07-24
12186,"bullish","energy",2020-07-22
12187,"none","energy",2020-07-23
12188,"none","energy",2020-07-07
12189,"bearish","energy",2020-07-24
12190,"none","energy",2020-07-24
12191,"none","energy",2020-07-24
12192,"none","energy",2020-07-24
12193,"none","energy",2020-07-24
12194,"bullish","energy",2020-07-24
12195,"bullish","energy",2020-07-24
12196,"bearish","energy",2020-07-24
12197,"none","energy",2020-07-24
12198,"none","energy",2020-07-24
12199,"bearish","energy",2020-07-24
12200,"none","energy",2020-07-24
12201,"none","energy",2020-07-23
12202,"none","energy",2020-07-23
12203,"none","energy",2020-07-23
12204,"none","energy",2020-07-23
12205,"none","energy",2020-07-23
12206,"none","energy",2020-07-23
12207,"none","energy",2020-07-23
12208,"none","energy",2020-07-23
12209,"bearish","energy",2020-07-23
12210,"none","energy",2020-07-24
12211,"none","energy",2020-07-24
12212,"none","energy",2020-07-23
12213,"none","energy",2020-07-24
12214,"bearish","energy",2020-07-24
12215,"none","energy",2020-07-24
12216,"none","energy",2020-07-24
12217,"bullish","energy",2020-07-24
12218,"none","energy",2020-07-24
12219,"bearish","energy",2020-07-24
12220,"none","energy",2020-07-24
12221,"bullish","energy",2020-07-24
12222,"none","energy",2020-07-24
12223,"bullish","energy",2020-07-24
12224,"bearish","energy",2020-07-24
12225,"none","energy",2020-07-24
12226,"none","energy",2020-07-24
12227,"bullish","energy",2020-07-24
12228,"bullish","energy",2020-07-24
12229,"none","energy",2020-07-24
12230,"bullish","energy",2020-07-24
12231,"none","energy",2020-07-24
12232,"bullish","energy",2020-07-24
12233,"none","energy",2020-07-24
12234,"none","energy",2020-07-24
12235,"none","energy",2020-07-24
12236,"none","energy",2020-07-24
12237,"none","energy",2020-07-24
12238,"bearish","energy",2020-07-23
12239,"none","energy",2020-07-24
12240,"none","energy",2020-07-24
12241,"none","energy",2020-07-24
12242,"none","energy",2020-07-24
12243,"none","energy",2020-07-24
12244,"none","energy",2020-07-24
12245,"none","energy",2020-07-24
12246,"none","energy",2020-07-24
12247,"none","energy",2020-07-24
12248,"none","energy",2020-07-24
12249,"none","energy",2020-07-24
12250,"none","energy",2020-07-24
12251,"none","energy",2020-07-25
12252,"bullish","energy",2020-07-24
12253,"none","energy",2020-07-24
12254,"none","energy",2020-07-25
12255,"none","energy",2020-07-24
12256,"bullish","energy",2020-07-25
12257,"none","energy",2020-07-24
12258,"bearish","energy",2020-07-24
12259,"none","energy",2020-07-24
12260,"none","energy",2020-07-24
12261,"bullish","energy",2020-07-24
12262,"none","energy",2020-07-24
12263,"none","energy",2020-07-24
12264,"none","energy",2020-07-24
12265,"none","energy",2020-07-24
12266,"none","energy",2020-07-24
12267,"none","energy",2020-07-24
12268,"none","energy",2020-07-24
12269,"none","energy",2020-07-24
12270,"none","energy",2020-07-24
12271,"none","energy",2020-07-24
12272,"none","energy",2020-07-24
12273,"none","energy",2020-07-24
12274,"none","energy",2020-07-24
12275,"none","energy",2020-07-24
12276,"none","energy",2020-07-23
12277,"none","energy",2020-07-23
12278,"none","energy",2020-07-24
12279,"none","energy",2020-07-23
12280,"none","energy",2020-07-24
12281,"none","energy",2020-07-24
12282,"none","energy",2020-07-24
12283,"none","energy",2020-07-23
12284,"none","energy",2020-07-24
12285,"none","energy",2020-07-21
12286,"none","energy",2020-07-24
12287,"none","energy",2020-07-23
12288,"none","energy",2020-07-24
12289,"none","energy",2020-07-24
12290,"bullish","energy",2020-07-23
12291,"none","energy",2020-07-23
12292,"none","energy",2020-07-24
12293,"none","energy",2020-07-21
12294,"none","energy",2020-07-23
12295,"none","energy",2020-07-24
12296,"none","energy",2020-07-23
12297,"none","energy",2020-07-24
12298,"none","energy",2020-07-24
12299,"none","energy",2020-07-24
12300,"none","energy",2020-07-24
12301,"none","energy",2020-07-24
12302,"bullish","energy",2020-07-24
12303,"none","energy",2020-07-24
12304,"none","energy",2020-07-24
12305,"none","energy",2020-07-24
12306,"none","energy",2020-07-24
12307,"none","energy",2020-07-24
12308,"none","energy",2020-07-24
12309,"bearish","energy",2020-07-24
12310,"none","energy",2020-07-24
12311,"none","energy",2020-07-24
12312,"none","energy",2020-07-24
12313,"none","energy",2020-07-24
12314,"none","energy",2020-07-24
12315,"none","energy",2020-07-24
12316,"none","energy",2020-07-24
12317,"none","energy",2020-07-24
12318,"none","energy",2020-07-24
12319,"none","energy",2020-07-24
12320,"none","energy",2020-07-24
12321,"none","energy",2020-07-24
12322,"none","energy",2020-07-24
12323,"none","energy",2020-07-24
12324,"bullish","energy",2020-07-24
12325,"none","energy",2020-07-24
12326,"none","energy",2020-07-24
12327,"none","energy",2020-07-24
12328,"none","energy",2020-07-24
12329,"none","energy",2020-07-24
12330,"none","energy",2020-07-24
12331,"none","energy",2020-07-24
12332,"none","energy",2020-07-24
12333,"none","energy",2020-07-24
12334,"none","energy",2020-07-24
12335,"bearish","energy",2020-07-24
12336,"none","energy",2020-07-24
12337,"none","energy",2020-07-24
12338,"none","energy",2020-07-24
12339,"none","energy",2020-07-24
12340,"none","energy",2020-07-24
12341,"bullish","energy",2020-07-24
12342,"none","energy",2020-07-24
12343,"bearish","energy",2020-07-24
12344,"bullish","energy",2020-07-24
12345,"none","energy",2020-07-21
12346,"bullish","energy",2020-07-24
12347,"none","energy",2020-07-24
12348,"bearish","energy",2020-07-24
12349,"none","energy",2020-07-24
12350,"bullish","energy",2020-07-24
12351,"none","energy",2020-07-24
12352,"none","energy",2020-07-24
12353,"none","energy",2020-07-24
12354,"none","energy",2020-07-24
12355,"none","energy",2020-07-24
12356,"none","energy",2020-07-24
12357,"none","energy",2020-07-24
12358,"bearish","energy",2020-07-24
12359,"none","energy",2020-07-24
12360,"none","energy",2020-07-24
12361,"none","energy",2020-07-24
12362,"none","energy",2020-07-17
12363,"none","energy",2020-07-24
12364,"none","energy",2020-07-24
12365,"none","energy",2020-07-24
12366,"none","energy",2020-07-24
12367,"none","energy",2020-07-24
12368,"none","energy",2020-07-24
12369,"none","energy",2020-07-24
12370,"none","energy",2020-07-24
12371,"bullish","energy",2020-07-24
12372,"none","energy",2020-07-24
12373,"none","energy",2020-07-24
12374,"none","energy",2020-07-24
12375,"none","energy",2020-07-24
12376,"none","energy",2020-07-24
12377,"none","energy",2020-07-24
12378,"none","energy",2020-07-24
12379,"bearish","energy",2020-07-24
12380,"bearish","energy",2020-07-24
12381,"none","energy",2020-07-24
12382,"none","energy",2020-07-24
12383,"none","energy",2020-07-24
12384,"bullish","energy",2020-07-24
12385,"none","energy",2020-07-24
12386,"none","energy",2020-07-24
12387,"none","energy",2020-07-24
12388,"none","energy",2020-07-24
12389,"none","energy",2020-07-24
12390,"bearish","energy",2020-07-24
12391,"none","energy",2020-07-24
12392,"none","energy",2020-07-24
12393,"none","energy",2020-07-24
12394,"none","energy",2020-07-24
12395,"bearish","energy",2020-07-24
12396,"bullish","energy",2020-07-24
12397,"bullish","energy",2020-07-24
12398,"none","energy",2020-07-24
12399,"none","energy",2020-07-24
12400,"none","energy",2020-07-24
12401,"bearish","energy",2020-07-24
12402,"none","energy",2020-07-24
12403,"none","energy",2020-07-24
12404,"none","energy",2020-07-24
12405,"bearish","energy",2020-07-24
12406,"bullish","energy",2020-07-24
12407,"none","energy",2020-07-24
12408,"none","energy",2020-07-24
12409,"none","energy",2020-07-24
12410,"none","energy",2020-07-24
12411,"none","energy",2020-07-24
12412,"bullish","energy",2020-07-24
12413,"none","energy",2020-07-24
12414,"none","energy",2020-07-24
12415,"none","energy",2020-07-24
12416,"none","energy",2020-07-24
12417,"none","energy",2020-07-24
12418,"none","energy",2020-07-24
12419,"none","energy",2020-07-24
12420,"none","energy",2020-07-24
12421,"none","energy",2020-07-24
12422,"none","energy",2020-07-24
12423,"none","energy",2020-07-23
12424,"none","energy",2020-07-23
12425,"none","energy",2020-07-24
12426,"none","energy",2020-07-24
12427,"none","energy",2020-07-24
12428,"none","energy",2020-07-20
12429,"none","energy",2020-07-22
12430,"bearish","energy",2020-07-24
12431,"none","energy",2020-07-24
12432,"bearish","energy",2020-07-24
12433,"none","energy",2020-07-24
12434,"none","energy",2020-07-24
12435,"none","energy",2020-07-24
12436,"none","energy",2020-07-23
12437,"none","energy",2020-07-23
12438,"none","energy",2020-07-23
12439,"none","energy",2020-07-23
12440,"none","energy",2020-07-23
12441,"bearish","energy",2020-07-23
12442,"none","energy",2020-07-23
12443,"none","energy",2020-07-23
12444,"none","energy",2020-07-22
12445,"none","energy",2020-07-22
12446,"none","energy",2020-07-24
12447,"none","energy",2020-07-24
12448,"bullish","energy",2020-07-24
12449,"none","energy",2020-07-24
12450,"none","energy",2020-07-24
12451,"none","energy",2020-07-24
12452,"none","energy",2020-07-24
12453,"none","energy",2020-07-24
12454,"none","energy",2020-07-24
12455,"none","energy",2020-07-24
12456,"none","energy",2020-07-24
12457,"none","energy",2020-07-24
12458,"bearish","energy",2020-07-24
12459,"bullish","energy",2020-07-24
12460,"none","energy",2020-07-24
12461,"none","energy",2020-07-24
12462,"none","energy",2020-07-24
12463,"none","energy",2020-07-24
12464,"bullish","energy",2020-07-24
12465,"none","energy",2020-07-24
12466,"none","energy",2020-07-24
12467,"none","energy",2020-07-24
12468,"none","energy",2020-07-23
12469,"bullish","energy",2020-07-23
12470,"none","energy",2020-07-23
12471,"none","energy",2020-07-23
12472,"none","energy",2020-07-23
12473,"bullish","energy",2020-07-23
12474,"none","energy",2020-07-23
12475,"bearish","energy",2020-07-23
12476,"bearish","energy",2020-07-24
12477,"none","energy",2020-07-23
12478,"none","energy",2020-07-22
12479,"none","energy",2020-07-23
12480,"none","energy",2020-07-24
12481,"none","energy",2020-07-24
12482,"bearish","energy",2020-07-24
12483,"none","energy",2020-07-24
12484,"none","energy",2020-07-24
12485,"none","energy",2020-07-24
12486,"none","energy",2020-07-24
12487,"none","energy",2020-07-24
12488,"none","energy",2020-07-24
12489,"none","energy",2020-07-24
12490,"none","energy",2020-07-24
12491,"none","energy",2020-07-24
12492,"bullish","energy",2020-07-24
12493,"none","energy",2020-07-24
12494,"none","energy",2020-07-24
12495,"none","energy",2020-07-24
12496,"none","energy",2020-07-24
12497,"none","energy",2020-07-24
12498,"none","energy",2020-07-24
12499,"none","energy",2020-07-24
12500,"none","energy",2020-07-24
12501,"none","energy",2020-07-24
12502,"none","energy",2020-07-24
12503,"none","energy",2020-07-24
12504,"none","energy",2020-07-24
12505,"none","energy",2020-07-24
12506,"none","energy",2020-07-24
12507,"none","energy",2020-07-24
12508,"none","energy",2020-07-24
12509,"none","energy",2020-07-24
12510,"none","energy",2020-07-24
12511,"none","energy",2020-07-23
12512,"none","energy",2020-07-23
12513,"bullish","energy",2020-07-23
12514,"bearish","energy",2020-07-23
12515,"none","energy",2020-07-23
12516,"none","energy",2020-07-23
12517,"none","energy",2020-07-23
12518,"bearish","energy",2020-07-23
12519,"none","energy",2020-07-23
12520,"none","energy",2020-07-24
12521,"bearish","energy",2020-07-24
12522,"none","energy",2020-07-24
12523,"none","energy",2020-07-24
12524,"none","energy",2020-07-24
12525,"none","energy",2020-07-24
12526,"none","energy",2020-07-24
12527,"bullish","energy",2020-07-24
12528,"bearish","energy",2020-07-24
12529,"none","energy",2020-07-24
12530,"bearish","energy",2020-07-24
12531,"none","energy",2020-07-24
12532,"none","energy",2020-07-24
12533,"none","energy",2020-07-24
12534,"bullish","energy",2020-07-24
12535,"none","energy",2020-07-24
12536,"none","energy",2020-07-24
12537,"none","energy",2020-07-24
12538,"none","energy",2020-07-24
12539,"bearish","energy",2020-07-24
12540,"none","energy",2020-07-24
12541,"bearish","energy",2020-07-24
12542,"bearish","energy",2020-07-24
12543,"none","energy",2020-07-24
12544,"none","energy",2020-07-24
12545,"none","energy",2020-07-24
12546,"none","energy",2020-07-24
12547,"none","energy",2020-07-24
12548,"none","energy",2020-07-24
12549,"none","energy",2020-07-24
12550,"none","energy",2020-07-24
12551,"none","energy",2020-07-24
12552,"none","energy",2020-07-24
12553,"none","energy",2020-07-24
12554,"none","energy",2020-07-24
12555,"none","energy",2020-07-24
12556,"none","energy",2020-07-24
12557,"none","energy",2020-07-24
12558,"none","energy",2020-07-24
12559,"bearish","energy",2020-07-24
12560,"none","energy",2020-07-24
12561,"bearish","energy",2020-07-24
12562,"none","energy",2020-07-24
12563,"none","energy",2020-07-24
12564,"bullish","energy",2020-07-24
12565,"bearish","energy",2020-07-24
12566,"none","energy",2020-07-24
12567,"none","energy",2020-07-24
12568,"none","energy",2020-07-24
12569,"none","energy",2020-07-24
12570,"bullish","energy",2020-07-24
12571,"none","energy",2020-07-24
12572,"none","energy",2020-07-24
12573,"none","energy",2020-07-24
12574,"none","energy",2020-07-23
12575,"none","energy",2020-07-24
12576,"none","energy",2020-07-24
12577,"none","energy",2020-07-24
12578,"bullish","energy",2020-07-24
12579,"none","energy",2020-07-24
12580,"none","energy",2020-07-24
12581,"bullish","energy",2020-07-24
12582,"none","energy",2020-07-24
12583,"none","energy",2020-07-24
12584,"none","energy",2020-07-24
12585,"none","energy",2020-07-24
12586,"none","energy",2020-07-23
12587,"none","energy",2020-07-24
12588,"none","energy",2020-07-23
12589,"bearish","energy",2020-07-24
12590,"none","energy",2020-07-23
12591,"none","energy",2020-07-24
12592,"none","energy",2020-07-24
12593,"none","energy",2020-07-23
12594,"none","energy",2020-07-24
12595,"none","energy",2020-07-24
12596,"none","energy",2020-07-24
12597,"none","energy",2020-07-24
12598,"none","energy",2020-07-24
12599,"none","energy",2020-07-24
12600,"bullish","energy",2020-07-24
12601,"none","energy",2020-07-24
12602,"none","energy",2020-07-24
12603,"none","energy",2020-07-24
12604,"none","energy",2020-07-24
12605,"none","energy",2020-07-24
12606,"none","energy",2020-07-24
12607,"bearish","energy",2020-07-24
12608,"none","energy",2020-07-24
12609,"bullish","energy",2020-07-24
12610,"none","energy",2020-07-24
12611,"none","energy",2020-07-24
12612,"bearish","energy",2020-07-24
12613,"bearish","energy",2020-07-24
12614,"none","energy",2020-07-24
12615,"none","energy",2020-07-24
12616,"none","energy",2020-07-24
12617,"none","energy",2020-07-24
12618,"none","energy",2020-07-24
12619,"none","energy",2020-07-24
12620,"bullish","energy",2020-07-24
12621,"none","energy",2020-07-24
12622,"none","energy",2020-07-24
12623,"none","energy",2020-07-24
12624,"none","energy",2020-07-24
12625,"none","energy",2020-07-24
12626,"none","energy",2020-07-24
12627,"none","energy",2020-07-24
12628,"none","energy",2020-07-24
12629,"none","energy",2020-07-24
12630,"none","energy",2020-07-24
12631,"none","energy",2020-07-24
12632,"none","energy",2020-07-24
12633,"none","energy",2020-07-24
12634,"none","energy",2020-07-24
12635,"none","energy",2020-07-24
12636,"none","energy",2020-07-24
12637,"none","energy",2020-07-23
12638,"none","energy",2020-07-23
12639,"none","energy",2020-07-20
12640,"none","energy",2020-07-24
12641,"none","energy",2020-07-23
12642,"none","energy",2020-07-24
12643,"none","energy",2020-07-24
12644,"none","energy",2020-07-24
12645,"none","energy",2020-07-24
12646,"none","energy",2020-07-24
12647,"none","energy",2020-07-24
12648,"none","energy",2020-07-24
12649,"none","energy",2020-07-24
12650,"none","energy",2020-07-24
12651,"none","energy",2020-07-24
12652,"none","energy",2020-07-24
12653,"none","energy",2020-07-24
12654,"none","energy",2020-07-24
12655,"none","energy",2020-07-24
12656,"none","energy",2020-07-24
12657,"none","energy",2020-07-24
12658,"none","energy",2020-07-24
12659,"none","energy",2020-07-24
12660,"none","energy",2020-07-24
12661,"bullish","energy",2020-07-24
12662,"none","energy",2020-07-24
12663,"none","energy",2020-07-24
12664,"bullish","energy",2020-07-24
12665,"none","energy",2020-07-24
12666,"none","energy",2020-07-24
12667,"none","energy",2020-07-24
12668,"none","energy",2020-07-24
12669,"none","energy",2020-07-24
12670,"none","energy",2020-07-24
12671,"none","energy",2020-07-24
12672,"none","energy",2020-07-24
12673,"none","energy",2020-07-23
12674,"none","energy",2020-07-23
12675,"none","energy",2020-07-23
12676,"none","energy",2020-07-23
12677,"none","energy",2020-07-22
12678,"none","energy",2020-07-22
12679,"none","energy",2020-07-22
12680,"none","energy",2020-07-21
12681,"none","energy",2020-07-21
12682,"bearish","energy",2020-07-21
12683,"none","energy",2020-07-21
12684,"none","energy",2020-07-20
12685,"bearish","energy",2020-07-20
12686,"none","energy",2020-07-20
12687,"none","energy",2020-07-17
12688,"none","energy",2020-07-17
12689,"none","energy",2020-07-17
12690,"none","energy",2020-07-24
12691,"none","energy",2020-07-24
12692,"none","energy",2020-07-24
12693,"none","energy",2020-07-24
12694,"none","energy",2020-07-24
12695,"none","energy",2020-07-24
12696,"none","energy",2020-07-24
12697,"none","energy",2020-07-24
12698,"none","energy",2020-07-24
12699,"none","energy",2020-07-24
12700,"none","energy",2020-07-24
12701,"none","energy",2020-07-24
