Total covid cases and death cases in US vs % of each sentiment type,,,,,
,,,,,
 Hypothesis for combining the data ,,,,,
,"Combining the external data which is the US daily Covid cases with the data from current Source table, we can explore if the trend of how covid cases develops in US has any impact on the overall sentiment which combines the sentiment from comments and newsheadlines.",,,,
,,,,,
 Results ,,,,,
date,covid cases,deaths cases,bullishper,bearishper,neutralper
7/1/20,2703296,128104,0,0,1
7/2/20,2758851,128827,0,0.1667,0.8333
7/3/20,2815374,129417,0,0,1
7/6/20,2958095,130332,0,0.2,0.8
7/7/20,3012252,131290,0,0,1
7/8/20,3071711,132238,0,0,1
7/9/20,3131610,133079,0,0,1
7/10/20,3199837,133907,0,0.25,0.75
7/13/20,3379943,135402,0,0,1
7/14/20,3445544,136356,0,0.1111,0.8889
7/15/20,3513892,137327,0.1429,0.1429,0.7143
7/16/20,3589589,138285,0,0,1
7/17/20,3660512,139186,0.0625,0.125,0.8125
7/18/20,3722966,139961,0.2,0,0.8
7/19/20,3785241,140373,0,0,1
7/19/20,3785241,140373,0.1194,0.1155,0.7652
7/20/20,3845124,140904,0.1081,0.1081,0.7838
7/20/20,3845124,140904,0.1073,0.0776,0.8151
7/21/20,3910398,142031,0.0345,0.0172,0.9483
7/21/20,3910398,142031,0.128,0.0946,0.7774
7/22/20,3980128,143167,0.1096,0.0685,0.8219
7/22/20,3980128,143167,0.1305,0.0959,0.7736
7/23/20,4050126,144283,0.0647,0.0791,0.8561
7/23/20,4050126,144283,0.1193,0.1185,0.7622
,,,,,
 Chart's significance and forward guidance ,,,,,
