"SourceKey","Sentiment","Sector","Date"
1,"bullish","telecommunicationServices","2020-07-19"
2,"none","healthCare","2020-07-19"
3,"none","telecommunicationServices","2020-07-19"
4,"none","sector","2020-07-19"
5,"none","sector","2020-07-19"
6,"none","sector","2020-07-19"
7,"none","telecommunicationServices","2020-07-19"
8,"none","sector","2020-07-19"
9,"none","sector","2020-07-19"
10,"bullish","sector","2020-07-19"
11,"none","informationtechnology","2020-07-19"
12,"none","informationtechnology","2020-07-19"
13,"none","sector","2020-07-19"
14,"bullish","industrials","2020-07-19"
15,"none","telecommunicationServices","2020-07-19"
16,"none","sector","2020-07-19"
17,"bullish","telecommunicationServices","2020-07-19"
18,"none","telecommunicationServices","2020-07-19"
19,"bearish","sector","2020-07-19"
20,"none","sector","2020-07-19"
21,"none","telecommunicationServices","2020-07-19"
22,"none","telecommunicationServices","2020-07-19"
23,"none","telecommunicationServices","2020-07-19"
24,"none","sector","2020-07-19"
25,"none","telecommunicationServices","2020-07-19"
26,"none","telecommunicationServices","2020-07-19"
27,"none","sector","2020-07-19"
28,"none","industrials","2020-07-19"
29,"none","telecommunicationServices","2020-07-19"
30,"none","sector","2020-07-19"
31,"bullish","industrials","2020-07-19"
32,"none","telecommunicationServices","2020-07-19"
33,"none","telecommunicationServices","2020-07-19"
34,"bullish","sector","2020-07-19"
35,"none","healthCare","2020-07-19"
36,"none","industrials","2020-07-19"
37,"none","telecommunicationServices","2020-07-19"
38,"bullish","telecommunicationServices","2020-07-19"
39,"none","telecommunicationServices","2020-07-19"
40,"none","industrials","2020-07-19"
41,"none","telecommunicationServices","2020-07-19"
42,"none","telecommunicationServices","2020-07-19"
43,"none","sector","2020-07-19"
44,"none","healthCare","2020-07-19"
45,"bearish","telecommunicationServices","2020-07-19"
46,"none","sector","2020-07-19"
47,"none","telecommunicationServices","2020-07-19"
48,"bearish","informationtechnology","2020-07-19"
49,"none","sector","2020-07-19"
50,"none","telecommunicationServices","2020-07-19"
51,"none","sector","2020-07-19"
52,"bearish","telecommunicationServices","2020-07-19"
53,"none","sector","2020-07-19"
54,"none","healthCare","2020-07-19"
55,"none","telecommunicationServices","2020-07-19"
56,"none","telecommunicationServices","2020-07-19"
57,"none","telecommunicationServices","2020-07-19"
58,"none","sector","2020-07-19"
59,"none","sector","2020-07-19"
60,"none","healthCare","2020-07-19"
61,"none","industrials","2020-07-19"
62,"bearish","telecommunicationServices","2020-07-19"
63,"none","informationtechnology","2020-07-19"
64,"none","telecommunicationServices","2020-07-19"
65,"bearish","telecommunicationServices","2020-07-19"
66,"none","healthCare","2020-07-19"
67,"none","telecommunicationServices","2020-07-19"
68,"bullish","industrials","2020-07-19"
69,"bullish","informationtechnology","2020-07-19"
70,"none","sector","2020-07-19"
71,"none","telecommunicationServices","2020-07-19"
72,"none","sector","2020-07-19"
73,"bullish","telecommunicationServices","2020-07-19"
74,"none","telecommunicationServices","2020-07-19"
75,"bullish","sector","2020-07-19"
76,"none","sector","2020-07-19"
77,"none","sector","2020-07-19"
78,"none","sector","2020-07-19"
79,"bullish","informationtechnology","2020-07-19"
80,"none","sector","2020-07-19"
81,"none","sector","2020-07-19"
82,"none","sector","2020-07-19"
83,"none","healthCare","2020-07-19"
84,"bullish","telecommunicationServices","2020-07-19"
85,"none","telecommunicationServices","2020-07-19"
86,"none","sector","2020-07-19"
87,"none","sector","2020-07-19"
88,"bullish","telecommunicationServices","2020-07-19"
89,"none","industrials","2020-07-19"
90,"bearish","telecommunicationServices","2020-07-19"
91,"none","sector","2020-07-19"
92,"none","sector","2020-07-19"
93,"none","sector","2020-07-19"
94,"none","sector","2020-07-19"
95,"none","sector","2020-07-19"
96,"bearish","telecommunicationServices","2020-07-19"
97,"none","sector","2020-07-19"
98,"none","healthCare","2020-07-19"
99,"bullish","industrials","2020-07-19"
100,"bullish","informationtechnology","2020-07-19"
101,"bullish","telecommunicationServices","2020-07-19"
102,"bearish","telecommunicationServices","2020-07-19"
103,"none","sector","2020-07-19"
104,"none","industrials","2020-07-19"
105,"bearish","sector","2020-07-19"
106,"none","healthCare","2020-07-19"
107,"bearish","sector","2020-07-19"
108,"none","industrials","2020-07-19"
109,"none","sector","2020-07-19"
110,"bearish","sector","2020-07-19"
111,"none","telecommunicationServices","2020-07-19"
112,"none","sector","2020-07-19"
113,"none","sector","2020-07-19"
114,"bearish","industrials","2020-07-19"
115,"none","telecommunicationServices","2020-07-19"
116,"none","sector","2020-07-19"
117,"none","healthCare","2020-07-19"
118,"none","telecommunicationServices","2020-07-19"
119,"none","telecommunicationServices","2020-07-19"
120,"bullish","informationtechnology","2020-07-19"
121,"none","sector","2020-07-19"
122,"bullish","informationtechnology","2020-07-19"
123,"none","sector","2020-07-19"
124,"none","sector","2020-07-19"
125,"none","sector","2020-07-19"
126,"none","informationtechnology","2020-07-19"
127,"none","sector","2020-07-19"
128,"none","sector","2020-07-19"
129,"none","telecommunicationServices","2020-07-19"
130,"none","healthCare","2020-07-19"
131,"none","telecommunicationServices","2020-07-19"
132,"none","sector","2020-07-19"
133,"bullish","industrials","2020-07-19"
134,"bearish","informationtechnology","2020-07-19"
135,"none","healthCare","2020-07-19"
136,"none","healthCare","2020-07-19"
137,"none","healthCare","2020-07-19"
138,"none","sector","2020-07-19"
139,"none","telecommunicationServices","2020-07-19"
140,"none","telecommunicationServices","2020-07-19"
141,"bearish","telecommunicationServices","2020-07-19"
142,"none","informationtechnology","2020-07-19"
143,"bearish","sector","2020-07-19"
144,"bearish","informationtechnology","2020-07-19"
145,"none","healthCare","2020-07-19"
146,"none","sector","2020-07-19"
147,"bullish","sector","2020-07-19"
148,"none","sector","2020-07-19"
149,"none","telecommunicationServices","2020-07-19"
150,"none","sector","2020-07-19"
151,"none","sector","2020-07-19"
152,"bearish","sector","2020-07-19"
153,"none","sector","2020-07-19"
154,"none","telecommunicationServices","2020-07-19"
155,"none","sector","2020-07-19"
156,"none","sector","2020-07-19"
157,"none","informationtechnology","2020-07-19"
158,"none","sector","2020-07-19"
159,"none","sector","2020-07-19"
160,"none","sector","2020-07-19"
161,"bearish","telecommunicationServices","2020-07-19"
162,"none","informationtechnology","2020-07-19"
163,"bearish","sector","2020-07-19"
164,"none","sector","2020-07-19"
165,"none","informationtechnology","2020-07-19"
166,"none","sector","2020-07-19"
167,"none","telecommunicationServices","2020-07-19"
168,"none","sector","2020-07-19"
169,"bearish","telecommunicationServices","2020-07-19"
170,"none","sector","2020-07-19"
171,"none","telecommunicationServices","2020-07-19"
172,"none","sector","2020-07-19"
173,"bearish","telecommunicationServices","2020-07-19"
174,"none","telecommunicationServices","2020-07-19"
