"SourceKey","NewsSource","Headline"
11989,"cnn.com","Even gold standard nations are proving successes in containing Covid-19 are often only temporary"
11990,"cnn.com","Trump asked if hes comfortable with son returning to school"
11991,"cnn.com","Washington state was the first in the US to confront the coronavirus Now its battling a resurgence"
11992,"cnn.com","Trumps poll numbers sink while the virus surges"
11993,"cnn.com","New CDC guidelines come down hard in favor of opening schools"
11994,"cnn.com","Parents cooperating after teen party led to Covid-19 cluster"
11995,"cnn.com","Medical experts urge US to shut down and start over"
11996,"cnn.com","Chinese fugitive in custody as US claims consulate was a part of espionage network"
11997,"cnn.com","Democrats slam US intelligence official over warning about foreign interference in 2020 election"
11998,"cnn.com","Trump erupted over Espers de facto ban on Confederate flag sources say"
11999,"cnn.com","Amid signs of trouble for Trump Republican mega-donors scramble to retain the Senate majority"
12000,"cnn.com","Pandemics spread and sagging polls prompt Trump retreat"
12001,"cnn.com","Analysis Trumps briefings are becoming increasingly absurd"
12002,"cnn.com","An injured hiker recorded himself while stranded in Joshua Tree for 40 hours"
12003,"cnn.com","GOP Sen Tom Cotton pitches bill to prohibit use of federal funds to teach 1619 Project"
12004,"cnn.com","The strongest storm on the planet moves toward Hawaii"
12005,"cnn.com","5th grade teacher shares an emotional warning on schools reopening"
12006,"cnn.com","Analysis The 32 most bizarre lines from Trumps latest interview with Sean Hannity"
12007,"cnn.com","Bill Gates has a message for conspiracy theorists"
12008,"cnn.com","Opinion The cure for Covid-19 is trust"
12009,"cnn.com","Prosecutor People left notes saying I should be hung by KKK"
12010,"cnn.com","Former professor who resigned after campus uproar found dead"
12011,"cnn.com","Trump called Fox News doctor his guide CNNs Brianna Keilar rolls the tape"
12012,"cnn.com","Opinion Why the Obama-Biden ad may persuade key US voters"
12013,"cnn.com","Manson follower recommended for parole for the fourth time but California governor has final say"
12014,"cnn.com","He promised his friend hed split the cash if he won the lottery Hes doing just that with his 22 million jackpot"
12015,"cnn.com","Analysis People who are offended by Indian Matchmaking prove its point"
12016,"cnn.com","How McDonalds plans to enforce mask policy"
12017,"cnn.com","Lemon and Cuomo poke fun at Dr Faucis pitch at baseball game"
12018,"cnn.com","Parents in a county with one of Georgias highest coronavirus rates are protesting to get children back in school"
12019,"cnn.com","Airline says it will cover medical expenses if passengers catch Covid-19"
12020,"cnn.com","The Easter eggs in Taylor Swifts Cardigan decoded"
12021,"cnn.com","Crowd catches children jumping from burning building"
12022,"cnn.com","Opinion I have some bad news about The Notebook"
12023,"cnn.com","Truck plows into NYC dining patio"
12024,"cnn.com","If youre one of the 50 million who filed for unemployment heed this advice"
12025,"cnn.com","Millennials are getting out of cities and into the suburbs Heres why"
12026,"cnn.com","Do you own a small business thats been hit by the pandemic? Share your story"
12027,"cnn.com","Employers are having trouble hiring They blame the federal 600 unemployment bump"
12028,"cnn.com","Opinion Why the US shouldnt get rid of its coins"
12029,"cnn.com","The US Mint is literally begging for spare change"
12030,"cnn.com","Quarantine means deodorant sales are down ice cream sales are up"
12031,"cnn.com","What the heck is going on in Portland?"
12032,"cnn.com","Three reasons Black Lives Matter marchers refuse to quit"
12033,"cnn.com","If youre not using your platform youre complicit says Olympic great Michael Johnson"
12034,"cnn.com","Laundromat owners go viral modeling forgotten clothes"
12035,"cnn.com","The week in 40 photos"
12036,"cnn.com","See NASAs big plans for its new Mars rover"
12037,"cnn.com","Min Hyunwoos sun-drenched photos capture the essence of youth"
12038,"cnn.com","Analysis Heres why you cant watch Mulan on Disney right now"
12039,"cnn.com","Is Harvard worth 50000 if its only online?"
12040,"cnn.com","Ford reveals an electric Mustang Mach-E SUV with 1400 horsepower"
12041,"cnn.com","How the Lincoln Projects brutal anti-Trump ads could remake US politics"
12042,"cnn.com","AOCs brilliant defense of women who seek power"
12043,"cnn.com","Trumps worthless approach to fighting crime"
12044,"cnn.com","Seven most common myths about racial equity"
12045,"cnn.com","Lets talk about Kanye West & Harriet Tubman"
12046,"cnn.com","Whats Trumps strategy in Iran?"
12047,"cnn.com","Trump & Johnson act as if rules dont apply to them"
12048,"cnn.com","China offers 1B loan to Latin America and Caribbean for access to vaccine"
12049,"cnn.com","Spains king distances himself from his father after allegations of 100m transfer from ex-Saudi monarch"
12050,"cnn.com","Hagia Sophia holds first Friday prayers since conversion"
12051,"cnn.com","Taiwan parliament OKs renaming airline"
12052,"cnn.com","No proof Official defends Swedens controversial Covid-19 move"
12053,"cnn.com","Body of civil rights icon John Lewis to lie in state at US Capitol"
12054,"wsj.com","Newsletter In Short the Crisis Continues"
